date,sku,qty
2025-11-01,SKU-0176,2.0
2025-11-01,SKU-0177,1.0
2025-11-01,SKU-0136,2.0
2025-11-01,SKU-0199,3.0
2025-11-01,SKU-0032,3.0
2025-11-01,SKU-0139,3.0
2025-11-01,SKU-0048,2.0
2025-11-01,SKU-0148,1.0
2025-11-01,SKU-0117,1.0
2025-11-01,SKU-0194,3.0
2025-11-01,SKU-0191,4.0
2025-11-01,SKU-0190,3.0
2025-11-02,SKU-0026,6.0
2025-11-02,SKU-0105,7.0
2025-11-02,SKU-0051,3.0
2025-11-02,SKU-0160,3.0
2025-11-02,SKU-0121,1.0
2025-11-02,SKU-0161,2.0
2025-11-02,SKU-0083,2.0
2025-11-02,SKU-0029,1.0
2025-11-02,SKU-0101,4.0
2025-11-02,SKU-0033,1.0
2025-11-02,SKU-0071,2.0
2025-11-02,SKU-0109,3.0
2025-11-02,SKU-0086,2.0
2025-11-02,SKU-0128,2.0
2025-11-02,SKU-0116,1.0
2025-11-02,SKU-0042,3.0
2025-11-02,SKU-0011,2.0
2025-11-02,SKU-0081,2.0
2025-11-02,SKU-0043,2.0
2025-11-02,SKU-0192,1.0
2025-11-02,SKU-0164,3.0
2025-11-02,SKU-0170,2.0
2025-11-02,SKU-0078,1.0
2025-11-02,SKU-0021,1.0
2025-11-02,SKU-0182,3.0
2025-11-02,SKU-0159,1.0
2025-11-02,SKU-0090,6.0
2025-11-02,SKU-0174,2.0
2025-11-02,SKU-0146,2.0
2025-11-02,SKU-0017,1.0
2025-11-02,SKU-0196,1.0
2025-11-02,SKU-0077,4.0
2025-11-02,SKU-0147,5.0
2025-11-02,SKU-0144,1.0
2025-11-02,SKU-0025,2.0
2025-11-02,SKU-0064,2.0
2025-11-02,SKU-0184,2.0
2025-11-02,SKU-0142,2.0
2025-11-02,SKU-0045,3.0
2025-11-02,SKU-0070,2.0
2025-11-03,SKU-0060,3.0
2025-11-03,SKU-0150,3.0
2025-11-03,SKU-0034,5.0
2025-11-03,SKU-0124,1.0
2025-11-03,SKU-0119,1.0
2025-11-03,SKU-0003,2.0
2025-11-03,SKU-0155,2.0
2025-11-03,SKU-0085,1.0
2025-11-03,SKU-0025,1.0
2025-11-03,SKU-0183,1.0
2025-11-03,SKU-0134,1.0
2025-11-03,SKU-0117,4.0
2025-11-03,SKU-0151,1.0
2025-11-03,SKU-0095,2.0
2025-11-03,SKU-0136,5.0
2025-11-03,SKU-0077,1.0
2025-11-03,SKU-0185,3.0
2025-11-03,SKU-0132,2.0
2025-11-03,SKU-0010,1.0
2025-11-03,SKU-0023,1.0
2025-11-03,SKU-0002,2.0
2025-11-03,SKU-0016,4.0
2025-11-03,SKU-0175,2.0
2025-11-03,SKU-0152,1.0
2025-11-03,SKU-0171,2.0
2025-11-03,SKU-0146,2.0
2025-11-03,SKU-0169,3.0
2025-11-03,SKU-0088,2.0
2025-11-03,SKU-0093,3.0
2025-11-03,SKU-0105,2.0
2025-11-03,SKU-0028,3.0
2025-11-03,SKU-0054,2.0
2025-11-03,SKU-0135,1.0
2025-11-03,SKU-0019,1.0
2025-11-03,SKU-0199,1.0
2025-11-03,SKU-0064,2.0
2025-11-04,SKU-0119,4.0
2025-11-04,SKU-0174,5.0
2025-11-04,SKU-0184,2.0
2025-11-04,SKU-0080,3.0
2025-11-04,SKU-0069,2.0
2025-11-04,SKU-0111,2.0
2025-11-04,SKU-0197,2.0
2025-11-04,SKU-0191,1.0
2025-11-04,SKU-0192,2.0
2025-11-04,SKU-0097,1.0
2025-11-04,SKU-0076,4.0
2025-11-04,SKU-0059,2.0
2025-11-04,SKU-0071,5.0
2025-11-04,SKU-0131,4.0
2025-11-04,SKU-0046,2.0
2025-11-04,SKU-0051,2.0
2025-11-04,SKU-0154,2.0
2025-11-04,SKU-0169,4.0
2025-11-04,SKU-0081,1.0
2025-11-04,SKU-0180,3.0
2025-11-04,SKU-0115,1.0
2025-11-04,SKU-0160,4.0
2025-11-04,SKU-0022,4.0
2025-11-04,SKU-0086,3.0
2025-11-04,SKU-0165,1.0
2025-11-04,SKU-0124,2.0
2025-11-04,SKU-0047,3.0
2025-11-04,SKU-0021,3.0
2025-11-04,SKU-0140,2.0
2025-11-04,SKU-0030,2.0
2025-11-04,SKU-0199,4.0
2025-11-04,SKU-0157,6.0
2025-11-04,SKU-0133,2.0
2025-11-05,SKU-0172,2.0
2025-11-05,SKU-0135,1.0
2025-11-05,SKU-0143,2.0
2025-11-05,SKU-0112,1.0
2025-11-05,SKU-0180,1.0
2025-11-05,SKU-0158,2.0
2025-11-05,SKU-0190,4.0
2025-11-05,SKU-0106,1.0
2025-11-05,SKU-0104,2.0
2025-11-05,SKU-0100,4.0
2025-11-05,SKU-0082,1.0
2025-11-05,SKU-0105,1.0
2025-11-05,SKU-0089,1.0
2025-11-05,SKU-0029,2.0
2025-11-05,SKU-0111,6.0
2025-11-05,SKU-0121,1.0
2025-11-05,SKU-0039,3.0
2025-11-05,SKU-0183,3.0
2025-11-05,SKU-0131,1.0
2025-11-05,SKU-0182,1.0
2025-11-05,SKU-0146,3.0
2025-11-05,SKU-0144,6.0
2025-11-05,SKU-0095,2.0
2025-11-05,SKU-0140,2.0
2025-11-05,SKU-0086,2.0
2025-11-05,SKU-0065,4.0
2025-11-05,SKU-0052,4.0
2025-11-05,SKU-0069,3.0
2025-11-05,SKU-0124,1.0
2025-11-05,SKU-0043,1.0
2025-11-05,SKU-0003,4.0
2025-11-05,SKU-0176,3.0
2025-11-05,SKU-0049,3.0
2025-11-05,SKU-0088,1.0
2025-11-05,SKU-0040,2.0
2025-11-05,SKU-0153,6.0
2025-11-05,SKU-0185,3.0
2025-11-06,SKU-0172,1.0
2025-11-06,SKU-0159,4.0
2025-11-06,SKU-0048,1.0
2025-11-06,SKU-0123,1.0
2025-11-06,SKU-0032,6.0
2025-11-06,SKU-0194,4.0
2025-11-06,SKU-0186,2.0
2025-11-06,SKU-0175,1.0
2025-11-06,SKU-0140,1.0
2025-11-06,SKU-0071,1.0
2025-11-06,SKU-0039,2.0
2025-11-06,SKU-0027,6.0
2025-11-06,SKU-0052,4.0
2025-11-06,SKU-0017,6.0
2025-11-06,SKU-0057,11.0
2025-11-06,SKU-0162,2.0
2025-11-06,SKU-0066,2.0
2025-11-06,SKU-0062,4.0
2025-11-06,SKU-0180,1.0
2025-11-06,SKU-0130,3.0
2025-11-06,SKU-0002,1.0
2025-11-06,SKU-0182,3.0
2025-11-06,SKU-0011,1.0
2025-11-06,SKU-0200,4.0
2025-11-06,SKU-0138,5.0
2025-11-06,SKU-0105,3.0
2025-11-06,SKU-0005,2.0
2025-11-06,SKU-0081,1.0
2025-11-06,SKU-0103,3.0
2025-11-06,SKU-0107,6.0
2025-11-06,SKU-0030,1.0
2025-11-06,SKU-0160,2.0
2025-11-06,SKU-0075,2.0
2025-11-06,SKU-0001,4.0
2025-11-06,SKU-0014,2.0
2025-11-06,SKU-0120,4.0
2025-11-06,SKU-0133,3.0
2025-11-06,SKU-0016,3.0
2025-11-06,SKU-0059,2.0
2025-11-06,SKU-0009,1.0
2025-11-07,SKU-0138,2.0
2025-11-07,SKU-0199,1.0
2025-11-07,SKU-0170,3.0
2025-11-07,SKU-0142,2.0
2025-11-07,SKU-0091,1.0
2025-11-07,SKU-0116,1.0
2025-11-07,SKU-0053,1.0
2025-11-07,SKU-0160,30.0
2025-11-07,SKU-0147,1.0
2025-11-07,SKU-0047,1.0
2025-11-07,SKU-0001,2.0
2025-11-07,SKU-0036,1.0
2025-11-07,SKU-0174,1.0
2025-11-07,SKU-0084,2.0
2025-11-07,SKU-0151,1.0
2025-11-07,SKU-0003,3.0
2025-11-07,SKU-0167,4.0
2025-11-07,SKU-0069,1.0
2025-11-07,SKU-0080,3.0
2025-11-07,SKU-0108,1.0
2025-11-07,SKU-0121,3.0
2025-11-07,SKU-0061,6.0
2025-11-07,SKU-0075,1.0
2025-11-07,SKU-0016,1.0
2025-11-07,SKU-0162,2.0
2025-11-07,SKU-0126,1.0
2025-11-07,SKU-0052,12.0
2025-11-07,SKU-0077,1.0
2025-11-07,SKU-0040,2.0
2025-11-07,SKU-0097,1.0
2025-11-07,SKU-0145,5.0
2025-11-07,SKU-0024,1.0
2025-11-07,SKU-0153,3.0
2025-11-07,SKU-0056,2.0
2025-11-07,SKU-0168,1.0
2025-11-07,SKU-0177,3.0
2025-11-07,SKU-0200,2.0
2025-11-08,SKU-0043,3.0
2025-11-08,SKU-0031,1.0
2025-11-08,SKU-0188,1.0
2025-11-08,SKU-0119,1.0
2025-11-08,SKU-0019,2.0
2025-11-08,SKU-0182,3.0
2025-11-08,SKU-0020,2.0
2025-11-08,SKU-0124,1.0
2025-11-08,SKU-0195,2.0
2025-11-08,SKU-0061,1.0
2025-11-08,SKU-0018,6.0
2025-11-08,SKU-0156,2.0
2025-11-08,SKU-0096,1.0
2025-11-08,SKU-0083,5.0
2025-11-08,SKU-0164,1.0
2025-11-08,SKU-0098,1.0
2025-11-08,SKU-0060,4.0
2025-11-08,SKU-0045,2.0
2025-11-08,SKU-0075,2.0
2025-11-08,SKU-0078,3.0
2025-11-08,SKU-0010,1.0
2025-11-08,SKU-0042,16.0
2025-11-08,SKU-0044,2.0
2025-11-08,SKU-0057,4.0
2025-11-08,SKU-0014,2.0
2025-11-08,SKU-0080,3.0
2025-11-08,SKU-0185,2.0
2025-11-08,SKU-0147,2.0
2025-11-08,SKU-0114,2.0
2025-11-08,SKU-0047,3.0
2025-11-08,SKU-0120,48.0
2025-11-08,SKU-0033,2.0
2025-11-08,SKU-0157,2.0
2025-11-09,SKU-0143,1.0
2025-11-09,SKU-0019,1.0
2025-11-09,SKU-0055,2.0
2025-11-09,SKU-0165,2.0
2025-11-09,SKU-0043,1.0
2025-11-09,SKU-0106,3.0
2025-11-09,SKU-0069,2.0
2025-11-09,SKU-0176,1.0
2025-11-09,SKU-0104,3.0
2025-11-09,SKU-0115,2.0
2025-11-09,SKU-0135,1.0
2025-11-09,SKU-0101,1.0
2025-11-09,SKU-0089,1.0
2025-11-09,SKU-0076,4.0
2025-11-09,SKU-0110,5.0
2025-11-09,SKU-0146,5.0
2025-11-09,SKU-0151,1.0
2025-11-09,SKU-0180,3.0
2025-11-09,SKU-0108,3.0
2025-11-09,SKU-0080,30.0
2025-11-09,SKU-0120,1.0
2025-11-09,SKU-0068,3.0
2025-11-09,SKU-0016,1.0
2025-11-09,SKU-0150,2.0
2025-11-09,SKU-0128,4.0
2025-11-09,SKU-0161,5.0
2025-11-09,SKU-0141,1.0
2025-11-09,SKU-0018,3.0
2025-11-09,SKU-0188,1.0
2025-11-09,SKU-0017,1.0
2025-11-09,SKU-0030,2.0
2025-11-09,SKU-0022,2.0
2025-11-09,SKU-0051,2.0
2025-11-09,SKU-0127,1.0
2025-11-09,SKU-0081,1.0
2025-11-10,SKU-0180,2.0
2025-11-10,SKU-0016,7.0
2025-11-10,SKU-0119,3.0
2025-11-10,SKU-0128,1.0
2025-11-10,SKU-0047,1.0
2025-11-10,SKU-0192,2.0
2025-11-10,SKU-0184,2.0
2025-11-10,SKU-0012,1.0
2025-11-10,SKU-0099,5.0
2025-11-10,SKU-0053,3.0
2025-11-10,SKU-0079,2.0
2025-11-10,SKU-0044,1.0
2025-11-10,SKU-0032,2.0
2025-11-10,SKU-0067,3.0
2025-11-10,SKU-0072,3.0
2025-11-10,SKU-0074,5.0
2025-11-10,SKU-0050,1.0
2025-11-10,SKU-0058,2.0
2025-11-10,SKU-0151,1.0
2025-11-10,SKU-0023,1.0
2025-11-10,SKU-0026,5.0
2025-11-10,SKU-0017,2.0
2025-11-10,SKU-0188,1.0
2025-11-10,SKU-0176,1.0
2025-11-10,SKU-0037,2.0
2025-11-10,SKU-0135,1.0
2025-11-10,SKU-0039,1.0
2025-11-10,SKU-0113,2.0
2025-11-10,SKU-0076,1.0
2025-11-10,SKU-0054,1.0
2025-11-10,SKU-0194,2.0
2025-11-10,SKU-0132,1.0
2025-11-10,SKU-0187,5.0
2025-11-10,SKU-0120,2.0
2025-11-10,SKU-0022,2.0
2025-11-11,SKU-0190,3.0
2025-11-11,SKU-0180,2.0
2025-11-11,SKU-0131,2.0
2025-11-11,SKU-0123,3.0
2025-11-11,SKU-0185,2.0
2025-11-11,SKU-0039,1.0
2025-11-11,SKU-0021,1.0
2025-11-11,SKU-0061,2.0
2025-11-11,SKU-0142,2.0
2025-11-11,SKU-0165,2.0
2025-11-11,SKU-0163,1.0
2025-11-11,SKU-0015,1.0
2025-11-11,SKU-0038,3.0
2025-11-11,SKU-0158,4.0
2025-11-11,SKU-0105,1.0
2025-11-11,SKU-0188,2.0
2025-11-11,SKU-0069,1.0
2025-11-11,SKU-0031,1.0
2025-11-11,SKU-0013,1.0
2025-11-11,SKU-0118,2.0
2025-11-11,SKU-0157,4.0
2025-11-11,SKU-0135,2.0
2025-11-11,SKU-0121,1.0
2025-11-11,SKU-0056,6.0
2025-11-11,SKU-0194,3.0
2025-11-11,SKU-0170,1.0
2025-11-11,SKU-0155,1.0
2025-11-11,SKU-0058,3.0
2025-11-11,SKU-0106,1.0
2025-11-11,SKU-0067,1.0
2025-11-11,SKU-0140,1.0
2025-11-12,SKU-0197,1.0
2025-11-12,SKU-0109,1.0
2025-11-12,SKU-0170,4.0
2025-11-12,SKU-0096,2.0
2025-11-12,SKU-0038,2.0
2025-11-12,SKU-0129,8.0
2025-11-12,SKU-0040,1.0
2025-11-12,SKU-0036,1.0
2025-11-12,SKU-0121,2.0
2025-11-12,SKU-0189,1.0
2025-11-12,SKU-0047,3.0
2025-11-12,SKU-0055,2.0
2025-11-12,SKU-0130,4.0
2025-11-12,SKU-0193,2.0
2025-11-12,SKU-0046,2.0
2025-11-12,SKU-0027,3.0
2025-11-12,SKU-0083,2.0
2025-11-12,SKU-0071,2.0
2025-11-12,SKU-0062,1.0
2025-11-12,SKU-0021,1.0
2025-11-12,SKU-0057,2.0
2025-11-12,SKU-0145,2.0
2025-11-12,SKU-0169,1.0
2025-11-12,SKU-0054,1.0
2025-11-12,SKU-0067,3.0
2025-11-12,SKU-0113,3.0
2025-11-12,SKU-0188,1.0
2025-11-12,SKU-0015,1.0
2025-11-12,SKU-0120,4.0
2025-11-12,SKU-0194,1.0
2025-11-12,SKU-0043,1.0
2025-11-13,SKU-0028,1.0
2025-11-13,SKU-0004,1.0
2025-11-13,SKU-0197,2.0
2025-11-13,SKU-0027,2.0
2025-11-13,SKU-0145,4.0
2025-11-13,SKU-0164,1.0
2025-11-13,SKU-0062,1.0
2025-11-13,SKU-0005,1.0
2025-11-13,SKU-0056,1.0
2025-11-13,SKU-0121,3.0
2025-11-13,SKU-0031,2.0
2025-11-13,SKU-0154,1.0
2025-11-13,SKU-0161,1.0
2025-11-13,SKU-0041,2.0
2025-11-13,SKU-0124,1.0
2025-11-13,SKU-0187,1.0
2025-11-13,SKU-0094,1.0
2025-11-13,SKU-0074,1.0
2025-11-13,SKU-0010,2.0
2025-11-13,SKU-0127,2.0
2025-11-13,SKU-0053,3.0
2025-11-13,SKU-0136,2.0
2025-11-13,SKU-0052,2.0
2025-11-13,SKU-0080,1.0
2025-11-13,SKU-0059,1.0
2025-11-13,SKU-0151,1.0
2025-11-13,SKU-0118,2.0
2025-11-13,SKU-0159,4.0
2025-11-13,SKU-0132,1.0
2025-11-13,SKU-0130,2.0
2025-11-13,SKU-0040,2.0
2025-11-13,SKU-0051,1.0
2025-11-13,SKU-0194,1.0
2025-11-13,SKU-0083,1.0
2025-11-13,SKU-0086,1.0
2025-11-13,SKU-0079,3.0
2025-11-13,SKU-0110,3.0
2025-11-14,SKU-0051,4.0
2025-11-14,SKU-0099,2.0
2025-11-14,SKU-0176,4.0
2025-11-14,SKU-0177,1.0
2025-11-14,SKU-0140,3.0
2025-11-14,SKU-0101,1.0
2025-11-14,SKU-0141,3.0
2025-11-14,SKU-0023,1.0
2025-11-14,SKU-0163,1.0
2025-11-14,SKU-0192,4.0
2025-11-14,SKU-0014,1.0
2025-11-14,SKU-0070,1.0
2025-11-14,SKU-0132,1.0
2025-11-14,SKU-0087,1.0
2025-11-14,SKU-0004,1.0
2025-11-14,SKU-0195,2.0
2025-11-14,SKU-0131,2.0
2025-11-14,SKU-0200,1.0
2025-11-14,SKU-0021,1.0
2025-11-14,SKU-0052,1.0
2025-11-14,SKU-0007,1.0
2025-11-14,SKU-0137,44.0
2025-11-14,SKU-0116,1.0
2025-11-14,SKU-0015,3.0
2025-11-14,SKU-0146,2.0
2025-11-14,SKU-0147,1.0
2025-11-14,SKU-0034,1.0
2025-11-14,SKU-0148,3.0
2025-11-14,SKU-0125,3.0
2025-11-14,SKU-0152,2.0
2025-11-14,SKU-0016,2.0
2025-11-14,SKU-0031,3.0
2025-11-14,SKU-0193,2.0
2025-11-14,SKU-0118,1.0
2025-11-15,SKU-0156,1.0
2025-11-15,SKU-0069,3.0
2025-11-15,SKU-0128,1.0
2025-11-15,SKU-0019,4.0
2025-11-15,SKU-0113,3.0
2025-11-15,SKU-0200,1.0
2025-11-15,SKU-0189,3.0
2025-11-15,SKU-0155,3.0
2025-11-15,SKU-0068,1.0
2025-11-15,SKU-0015,2.0
2025-11-15,SKU-0065,1.0
2025-11-15,SKU-0126,4.0
2025-11-15,SKU-0154,1.0
2025-11-15,SKU-0059,2.0
2025-11-15,SKU-0073,1.0
2025-11-15,SKU-0142,1.0
2025-11-15,SKU-0137,2.0
2025-11-15,SKU-0157,1.0
2025-11-15,SKU-0147,2.0
2025-11-15,SKU-0198,1.0
2025-11-15,SKU-0169,1.0
2025-11-15,SKU-0150,2.0
2025-11-15,SKU-0167,3.0
2025-11-15,SKU-0127,33.0
2025-11-15,SKU-0039,3.0
2025-11-15,SKU-0004,2.0
2025-11-15,SKU-0097,2.0
2025-11-15,SKU-0109,3.0
2025-11-15,SKU-0007,3.0
2025-11-15,SKU-0192,2.0
2025-11-15,SKU-0017,3.0
2025-11-15,SKU-0160,3.0
2025-11-16,SKU-0041,2.0
2025-11-16,SKU-0050,2.0
2025-11-16,SKU-0138,1.0
2025-11-16,SKU-0166,2.0
2025-11-16,SKU-0031,2.0
2025-11-16,SKU-0153,3.0
2025-11-16,SKU-0141,2.0
2025-11-16,SKU-0098,2.0
2025-11-16,SKU-0143,1.0
2025-11-16,SKU-0045,1.0
2025-11-16,SKU-0134,2.0
2025-11-16,SKU-0150,2.0
2025-11-16,SKU-0049,6.0
2025-11-16,SKU-0020,1.0
2025-11-16,SKU-0008,2.0
2025-11-16,SKU-0142,2.0
2025-11-16,SKU-0104,3.0
2025-11-16,SKU-0083,6.0
2025-11-16,SKU-0103,2.0
2025-11-16,SKU-0155,1.0
2025-11-16,SKU-0014,1.0
2025-11-16,SKU-0117,4.0
2025-11-16,SKU-0073,1.0
2025-11-16,SKU-0113,2.0
2025-11-16,SKU-0067,2.0
2025-11-16,SKU-0136,3.0
2025-11-16,SKU-0181,1.0
2025-11-16,SKU-0035,2.0
2025-11-16,SKU-0078,1.0
2025-11-16,SKU-0147,8.0
2025-11-16,SKU-0016,2.0
2025-11-16,SKU-0177,1.0
2025-11-16,SKU-0137,1.0
2025-11-16,SKU-0196,2.0
2025-11-16,SKU-0107,2.0
2025-11-16,SKU-0034,2.0
2025-11-16,SKU-0039,3.0
2025-11-16,SKU-0099,2.0
2025-11-16,SKU-0064,2.0
2025-11-16,SKU-0156,2.0
2025-11-17,SKU-0161,4.0
2025-11-17,SKU-0140,2.0
2025-11-17,SKU-0065,1.0
2025-11-17,SKU-0129,1.0
2025-11-17,SKU-0155,4.0
2025-11-17,SKU-0022,1.0
2025-11-17,SKU-0135,3.0
2025-11-17,SKU-0066,2.0
2025-11-17,SKU-0047,2.0
2025-11-17,SKU-0115,1.0
2025-11-17,SKU-0133,4.0
2025-11-17,SKU-0002,1.0
2025-11-17,SKU-0100,1.0
2025-11-17,SKU-0199,1.0
2025-11-17,SKU-0193,1.0
2025-11-17,SKU-0053,1.0
2025-11-17,SKU-0051,5.0
2025-11-17,SKU-0075,2.0
2025-11-17,SKU-0009,1.0
2025-11-17,SKU-0033,2.0
2025-11-17,SKU-0186,3.0
2025-11-17,SKU-0171,2.0
2025-11-17,SKU-0095,1.0
2025-11-17,SKU-0056,3.0
2025-11-17,SKU-0094,4.0
2025-11-17,SKU-0147,1.0
2025-11-17,SKU-0032,1.0
2025-11-17,SKU-0169,4.0
2025-11-17,SKU-0037,8.0
2025-11-17,SKU-0034,2.0
2025-11-17,SKU-0146,2.0
2025-11-17,SKU-0026,6.0
2025-11-17,SKU-0105,40.0
2025-11-18,SKU-0156,1.0
2025-11-18,SKU-0049,1.0
2025-11-18,SKU-0114,3.0
2025-11-18,SKU-0076,5.0
2025-11-18,SKU-0187,1.0
2025-11-18,SKU-0048,3.0
2025-11-18,SKU-0054,1.0
2025-11-18,SKU-0166,2.0
2025-11-18,SKU-0176,1.0
2025-11-18,SKU-0001,4.0
2025-11-18,SKU-0139,1.0
2025-11-18,SKU-0091,3.0
2025-11-18,SKU-0070,3.0
2025-11-18,SKU-0195,2.0
2025-11-18,SKU-0105,1.0
2025-11-18,SKU-0058,1.0
2025-11-18,SKU-0129,2.0
2025-11-18,SKU-0148,5.0
2025-11-18,SKU-0135,1.0
2025-11-18,SKU-0102,1.0
2025-11-18,SKU-0097,1.0
2025-11-18,SKU-0022,3.0
2025-11-18,SKU-0083,5.0
2025-11-18,SKU-0050,1.0
2025-11-18,SKU-0062,2.0
2025-11-18,SKU-0137,1.0
2025-11-18,SKU-0004,2.0
2025-11-18,SKU-0182,1.0
2025-11-18,SKU-0134,1.0
2025-11-18,SKU-0126,2.0
2025-11-18,SKU-0125,2.0
2025-11-18,SKU-0088,4.0
2025-11-18,SKU-0041,2.0
2025-11-19,SKU-0071,1.0
2025-11-19,SKU-0186,2.0
2025-11-19,SKU-0158,5.0
2025-11-19,SKU-0035,3.0
2025-11-19,SKU-0109,5.0
2025-11-19,SKU-0090,2.0
2025-11-19,SKU-0044,4.0
2025-11-19,SKU-0161,6.0
2025-11-19,SKU-0184,2.0
2025-11-19,SKU-0057,2.0
2025-11-19,SKU-0179,1.0
2025-11-19,SKU-0030,1.0
2025-11-19,SKU-0028,6.0
2025-11-19,SKU-0073,2.0
2025-11-19,SKU-0174,1.0
2025-11-19,SKU-0155,1.0
2025-11-19,SKU-0123,1.0
2025-11-19,SKU-0169,24.0
2025-11-19,SKU-0047,1.0
2025-11-19,SKU-0159,2.0
2025-11-19,SKU-0064,3.0
2025-11-19,SKU-0195,1.0
2025-11-19,SKU-0147,1.0
2025-11-19,SKU-0096,1.0
2025-11-19,SKU-0194,1.0
2025-11-19,SKU-0143,4.0
2025-11-19,SKU-0017,4.0
2025-11-19,SKU-0069,2.0
2025-11-19,SKU-0165,3.0
2025-11-19,SKU-0029,2.0
2025-11-19,SKU-0152,1.0
2025-11-19,SKU-0130,1.0
2025-11-19,SKU-0160,3.0
2025-11-19,SKU-0018,1.0
2025-11-19,SKU-0002,2.0
2025-11-19,SKU-0042,2.0
2025-11-19,SKU-0102,3.0
2025-11-20,SKU-0138,2.0
2025-11-20,SKU-0162,2.0
2025-11-20,SKU-0193,1.0
2025-11-20,SKU-0152,4.0
2025-11-20,SKU-0036,11.0
2025-11-20,SKU-0093,4.0
2025-11-20,SKU-0096,2.0
2025-11-20,SKU-0013,1.0
2025-11-20,SKU-0186,3.0
2025-11-20,SKU-0029,3.0
2025-11-20,SKU-0156,3.0
2025-11-20,SKU-0099,2.0
2025-11-20,SKU-0175,1.0
2025-11-20,SKU-0108,3.0
2025-11-20,SKU-0024,3.0
2025-11-20,SKU-0015,3.0
2025-11-20,SKU-0017,1.0
2025-11-20,SKU-0027,1.0
2025-11-20,SKU-0082,1.0
2025-11-20,SKU-0049,3.0
2025-11-20,SKU-0132,7.0
2025-11-20,SKU-0149,3.0
2025-11-20,SKU-0018,6.0
2025-11-20,SKU-0091,5.0
2025-11-20,SKU-0080,2.0
2025-11-20,SKU-0004,2.0
2025-11-20,SKU-0094,3.0
2025-11-20,SKU-0020,1.0
2025-11-20,SKU-0130,3.0
2025-11-20,SKU-0068,1.0
2025-11-20,SKU-0089,2.0
2025-11-20,SKU-0044,1.0
2025-11-20,SKU-0166,2.0
2025-11-20,SKU-0061,1.0
2025-11-20,SKU-0168,3.0
